id,title,body,category,priority
1,Blocco totale: sollecitare l'approvazione del budget per confermare l'ordine,"ciao a tutti, la situazione è vitale, vi chiedo di sollecitare l'approvazione del budget per confermare l'ordine immediatamente. vi invio questa mail per un aggiornamento.",Amministrazione,Alta
2,Blocco operativo: trattativa in corso su Pipedrive,"TEAM, È UN BLOCCO TOTALE, SERVE CHIUDERE LA TRATTATIVA IN CORSO SU PIPEDRIVE IMMEDIATAMENTE. RESTO A DISPOSIZIONE PER ULTERIORI INFORMAZIONI.",Commerciale,Bassa
3,Problema paralizzante: nuova stampante multifunzione,"È UNA SITUAZIONE PARALIZZANTE, PER FAVORE FATE IN MODO DI MAPPARE LA NUOVA STAMPANTE MULTIFUNZIONE CON URGENZA. VI RINGRAZIO PER LA COLLABORAZIONE. IL PAGAMENTO RISULTA BLOCCATO.",Tecnico,Alta
4,Domanda: come liquidare le fatture in sospeso?,"Ciao a tutti, ci sarebbe da liquidare le fatture in sospeso per favore. Scrivo per segnalare quanto segue.",Amministrazione,Bassa
5,Task: contratto in scadenza,Mi serveu na mano per rinnovare il contratto in scadenza. Fatemi sapere se avete bisogno di altro.,Commerciale,Bassa
6,Allarme: fattura del fornitore estero,"Gentile supporto, ticket escalato: serve registrare la fattura del fornitore estero con massima urgenza. È una questione bloccante. In allegato trovate i dettagli.",Amministrazione,Alta
7,Blocco totale: registro dei cespiti,"Per favore, è un'emergenza, dobbiamo aggiornare il registro dei cespiti ora. Resto a disposizione per ulteriori informazioni. serve un riscontro in giornata.",Tecnico,Media
8,Info su come brochure aggirando il limite di dimensione email... !!!,"Team, ho bisogno di supporto per inviare la brochure aggirando il limite di dimensione email. Resto in attesa di una vostra risposta.",Commerciale,Bassa
9,Blocco operativo: server di posta che non invia le offerte commerciali,"Team, è una situazione urgente, per favore fate in modo di sbloccare il server di posta che non invia le offerte commerciali con urgenza. Vi prego di darci priorità se possibile.",Tecnico,Alta
10,Task: modello F24 al commercialista,"Per favore, vi scrivo per chiedere di inviare il modello F24 al commercialista. Attendo un vostro riscontro.",Amministrazione,Bassa
11,Richiesta: allineare le provvigioni dei venditori sul foglio Excel,Mi serve una mano per allineare le provvigioni dei venditori sul foglio Excel. Scrivo per segnalare quanto segue. non blocca il lavoro ma preferirei una verifica rapida.,Amministrazione,Bassa
12,Supporto per licenza del software di vendita,"Per favore, ci sarebbe da rinnovare la licenza del software di vendita per favore. Potete farmi sapere le tempistiche?",Commerciale,Bassa
13,URGENTE: verificare perché il software di tesoreria non quadra con i pagamenti POS,"Gentile supporto, ticket escalato: serve verificare perché il software di tesoreria non quadra con i pagamenti POS con massima urgenza. È una questione catastrofica. Fatemi sapere se avete bisogno di altro. non riusciamo a lavorare. non e' un'urgenza reale ma vorrei tenerlo alto in coda.",Amministrazione,Alta
14,Domanda: come chiedere l'emissione urgente della fattura proforma per il lead?,"Buonasera, avrei una richiesta: mi serve chiedere l'emissione urgente della fattura proforma per il lead. Vi auguro una buona giornata.",Commerciale,Alta
15,Blocco totale: trattativa in corso su Pipedrive,"Buongiorno, è un'emergenza, dobbiamo chiudere la trattativa in corso su Pipedrive ora. Resto a disposizione per ulteriori chiarimenti. serve un riscontro in giornata.!!!",Commerciale,Media
16,Domanda: come scadenza del pagamento del fornitore?,"BUONGIORNO, VORREI CHIEDERVI DI VERIFICARE LA SCADENZA DEL PAGAMENTO DEL FORNITORE. RESTO A DISPOSIZIONE PER ULTERIORI INFORMAZIONI.",Amministrazione,Bassa
17,Supporto per riavviare il server principale,"Ciao a tutti, potete darmi indicazioni su come riavviare il server principale? Spero di ricevere presto notizie da voi.",Tecnico,Bassa
18,Problema rilevante: richiedere lo sblocco amministrativo per applicare lo sconto??,"Buongiorno, siamo fermi. È rilevante poter richiedere lo sblocco amministrativo per applicare lo sconto per continuare a lavorare. Grazie in anticipo per l'aiuto. impatta il flusso del team. non e' un'urgenza reale ma vorrei tenerlo alto in coda.",Commerciale,Media
19,Task: registro dei beni ammortizzabili,"Team, ho bisogno di supporto per aggiornare il registro dei beni ammortizzabili. Fatemi sapere se avete bisogno di altro.",Amministrazione,Bassa
20,Blocco operativo: nuovo access point Wi-Fi,"Ciao, situazione critica: dobbiamo configurare il nuovo access point Wi-Fi subito. Grazie in anticipo per l'aiuto. la produzione e' ferma.",Tecnico,Alta
21,Task: firmare l'NDA con il nuovo partner,"Buongiorno, apro questo ticket perché devo firmare l'NDA con il nuovo partner. Grazie per il vostro supporto continuo.",Commerciale,Bassa
22,Situazione fondametale: nota di credito,"È una situazione fondamentale, perf avore fate in modo di emettere la nota di credito con urgenza. Vi prego di darci priorità se possibile.",Amministrazione,Media
23,TASK: LISTINO PREZZI PER IL MESE IN CORSO,"Salve, mi serve una mano per aggiornare il listino prezzi per il mese in corso. Spero si possa risolvere in fretta. non e' un'urgenza reale ma vorrei tenerlo alto in coda.",Commerciale,Bassa
24,URGENTE: disdire l'abbonamento come richiesto dal cliente VIP,"Team, situazione critica: dobbiamo disdire l'abbonamento come richiesto dal cliente VIP subito. Grazie per la vostra attenzione.",Commerciale,Bassa
25,Domanda: come licenza del software di analisi dei dati commerciali?,"Buonasera, potete darmi indicazioni su come rinnovare la licenza del software di analisi dei dati commerciali? Grazie per la vostra attenzione. va gestito appena possibile. non siamo fermi, pero' vorrei chiuderlo presto.",Commerciale,Media
26,Allarme: nota di credito,"Ciao, il cliente si lamenta, è paralizzante riuscire a emettere la nota di credito entro oggi. Attendo un vostro riscontro. non possiamo chiudere la pratica.",Amministrazione,Alta
27,Problema significativa:sincronizzazione dei file,"Ciao a tutti, il cliente si lamenta, è significativa riuscire a risolvere il problema di sincronizzazione dei file entro oggi. Fatemi sapere se avete bisogno di altro.",Tecnico,Media
28,URGENTE: verificare i log di errore del sistema,"Ciao, è una situazione urgente, per favore fate in modo di verificare i log di errore del sistema con urgenza. Grazie per il vostro supporto continuo. il pagamento risulta bloccato.",Tecnico,Alta
29,Supporto per verificare i log di errore del sistema,"Gentile supporto, vorrei chiedervi di verificare i log di errore del sistema. Fatemi sapere se avete bisogno di altro. ci crea ritardo operativo.",Tecnico,Media
30,Necessità di liquidare i rimborsi arretrati,"Salve, avrei una richiesta: mi serve liquidare i rimborsi arretrati. Resto in attesa di una vostra risposta. non siamo fermi, pero' vorrei chiuderlo presto.",Amministrazione,Bassa
31,domanda: come certificato ssl scaduto?,"Per favore, mi serve una mano per aggiornare il certificato SSL scaduto. Potete farmi sapere le tempistiche? sta rallentando il lavoro.",Tecnico,Media
